1|Cristine|Gilbertson|Perry|10.22748|10.62488
2|Lita|Donoghue|Ashlee|10.09553|10.80900
3|June|Chapland|Lenna|10.84120|10.07356
4|Letizia|Elo|Rozele|10.03123|10.32749
5|Verla|Alejoa|Amii|10.47269|10.23047
6|Thalia|Weaks|Fernande|10.07497|10.89507
7|Edith|Trace|Selia|10.04889|10.29463
8|Robinia|Heisel|Anallese|10.28297|10.25852
9|Marjie|Geffner|Tiffie|10.73664|10.98719
10|Ruthe|Ventre|Lorenza|10.55426|10.68615
11|Anallese|Caitlin|Nickie|10.39580|10.01625
12|Camile|Eliathas|Flory|10.36228|10.23482
13|Melanie|Pattin|Letizia|10.02615|10.75629
14|Angelique|Stefa|Donnie|10.88183|10.61585
15|Gusella|Nickola|Sue|10.47099|10.96648
16|Elie|Jacobah|Catrina|10.74350|10.92441
17|Lorne|Vary|Tatiania|10.85513|10.80631
18|Shannah|Iiette|Edith|10.46042|10.61761
19|Clarice|Ovid|Lucy|10.29711|10.10117
20|Teriann|Shelba|Luci|10.15711|10.32309
21|Elka|Elsinore|Juliane|10.07716|10.41510
22|Helena|Maisey|Maye|10.84811|10.37123
23|Valli|Bahr|Tina|10.24297|10.29781
24|Maurene|Avi|Emmey|10.33579|10.64126
25|Lonnie|Tristram|Talya|10.40109|10.68782
26|Catrina|Merell|Tobe|10.43807|10.64281
27|Dotty|Loleta|Hyacinthe|10.96492|10.70065
28|Liana|Kress|Starla|10.04634|10.49823
29|Nanete|Mandler|Lulita|10.52417|10.58135
30|Kial|Euridice|Maryellen|10.74600|10.66100
31|Felice|Dannye|Fanchon|10.39118|10.42472
32|Stephanie|Guildroy|Janis|10.52809|10.67282
33|Cherilyn|Lynn|Adore|10.76371|10.04383
34|Gwyneth|O'Carroll|Edyth|10.41810|10.49773
35|Caressa|Armanda|Calla|10.30722|10.24342
36|Starla|Erlandson|Norine|10.71695|10.27122
37|Zsa Zsa|Halla|Jemie|10.00170|10.18425
38|Jaclyn|Bluh|Selia|10.10785|10.43601
39|Katharina|Janith|Lonnie|10.91865|10.34577
40|Shell|Ezar|Konstance|10.57571|10.62305
41|Aurelie|Peonir|Lita|10.68817|10.82760
42|Jany|Kat|Natka|10.60838|10.16444
43|Clary|Bevin|Violet|10.25667|10.30740
44|Chloris|Florina|Clarice|10.73031|10.20275
45|Tarra|Aida|Etta|10.20603|10.15799
46|Aigneis|Bevin|Shirlee|10.13844|10.52965
47|Gwyneth|Skell|Sherrie|10.96440|10.58303
48|Teddie|Shields|Danika|10.29552|10.86932
49|Cam|Ries|Fayre|10.92887|10.27936
50|Marjie|Carmena|Cordi|10.85884|10.20156
51|Gerrie|Gaulin|Amii|10.23665|10.85892
52|Paule|Vacuva|Millie|10.76078|10.43075
53|Malina|Cavan|Cherrita|10.42645|10.61093
54|Viviene|Audly|Lelah|10.29958|10.45276
55|Ginnie|Sancho|Dorthy|10.94652|10.85571
56|Dominga|Neils|Ayn|10.72110|10.90353
57|Tami|Gualtiero|Daryl|10.43029|10.55161
58|Jasmina|Gillan|Oona|10.45428|10.01108
59|Bertine|Bakerman|Peri|10.83212|10.00331
60|Corene|Curren|Rayna|10.95261|10.28600
61|Oralee|Thema|Wendi|10.61125|10.54043
62|Josephine|August|Kittie|10.59846|10.15557
63|Roseline|Muriel|Lexine|10.53796|10.00568
64|Natka|Shuler|Tani|10.59055|10.83750
65|Korrie|Gale|Tobe|10.07119|10.01247
66|Chandra|Greyson|Ginnie|10.96137|10.78038
67|Brana|Pearse|Stephanie|10.75477|10.85861
68|Ezmeralda|Wilona|Sallie|10.39128|10.71171
69|Dulcinea|Chick|Johna|10.30542|10.31038
70|Darlleen|Yate|Alejandra|10.24574|10.51693
71|Joceline|Berne|Darlleen|10.44707|10.87079
72|Evaleen|Land|Blondelle|10.58138|10.58911
73|Codie|Roarke|Gabriellia|10.85407|10.05724
74|Emylee|Woodberry|Mireielle|10.54810|10.54094
75|Atlanta|Malanie|Noelle|10.55652|10.19399
76|Ketti|Barbey|Bee|10.39351|10.34267
77|Eadie|Karna|Rebeca|10.47650|10.57567
78|Gloria|Lenny|Minne|10.35270|10.75264
79|Madeleine|Matthew|Tobe|10.70754|10.14646
80|Debee|Ellerey|Lila|10.81989|10.28696
81|Ada|Raimondo|Inga|10.71728|10.58917
82|Chere|Dom|Claudina|10.74785|10.10348
83|Alexine|Olympium|Evita|10.11703|10.63463
84|Gertrud|My|Cherilyn|10.29788|10.33745
85|Monika|Minetta|Georgetta|10.24645|10.06589
86|Hannis|Byrne|Rivalee|10.00447|10.31649
87|Mallory|Annice|Joy|10.93133|10.49328
88|Bibby|Sacken|Tarra|10.04127|10.41825
89|Rubie|Caitlin|Taffy|10.32927|10.58524
90|Halette|Barney|Jaime|10.85318|10.07666
91|Lory|Dunkin|Jorry|10.55349|10.88198
92|Audrie|Weitman|Silvana|10.70172|10.96541
93|Renae|Geffner|Jenda|10.50738|10.47451
94|Carilyn|Meter|Julieta|10.70710|10.91803
95|Heida|Lemuela|Reeba|10.32406|10.42053
96|Dorice|Vernier|Jan|10.68106|10.13258
97|Devina|Dulciana|Heddie|10.45559|10.07781
98|Dorthy|Zitvaa|Brianna|10.80119|10.21338
99|Charissa|Penelopa|Adelle|10.32859|10.24752
100|Bobinette|Sandye|Codie|10.99317|10.39538
101|Correy|Olympium|Yetty|10.74001|10.44315
